Sample	Baltimore_group	genome_type
African_swine_fever_virus_Mkuzi_1979	I	dsDNA
Aleutian_mink_disease_virus	II	ssDNA
Avian_leukosis_virus_RSA	VI	ssRNA-RT
Avian_orthoavulavirus_1_JSD0812	V	(-)ssRNA
Avian_orthoreovirus_AVS_B_L1	III	dsRNA
Avian_orthoreovirus_AVS_B_L2	III	dsRNA
Avian_orthoreovirus_AVS_B_L3	III	dsRNA
Avian_orthoreovirus_AVS_B_M1	III	dsRNA
Avian_orthoreovirus_AVS_B_M2	III	dsRNA
Avian_orthoreovirus_AVS_B_M3	III	dsRNA
Avian_orthoreovirus_AVS_B_S2	III	dsRNA
Avian_orthoreovirus_AVS_B_S3	III	dsRNA
Avian_orthoreovirus_AVS_B_S4	III	dsRNA
Beak_and_feather_disease_virus	II	ssDNA
Betacoronavirus_England_1	IV	(+)ssRNA
Betapolyomavirus_hominis	I	dsDNA
Bluetongue_virus_10	III	dsRNA
Bluetongue_virus_1	III	dsRNA
Bluetongue_virus_3	III	dsRNA
Bluetongue_virus_4	III	dsRNA
Bluetongue_virus_5	III	dsRNA
Bluetongue_virus_6	III	dsRNA
Bluetongue_virus_7	III	dsRNA
Bluetongue_virus_8	III	dsRNA
Bluetongue_virus_9	III	dsRNA
Bovine_leukemia_virus	VI	ssRNA-RT
Bovine_viral_diarrhea_virus_1	IV	(+)ssRNA
Canine_parvovirus	II	ssDNA
Capillovirus_mali	IV	(+)ssRNA
Cardamom_bushy_dwarf_virus_DNA_U3	II	ssDNA
Cardamom_bushy_dwarf_virus_M	II	ssDNA
Cardamom_bushy_dwarf_virus_NC_038808_1	II	ssDNA
Cardamom_bushy_dwarf_virus_NC_038809_1	II	ssDNA
Cardamom_bushy_dwarf_virus_NC_038810_1	II	ssDNA
Cardamom_bushy_dwarf_virus_NC_038816_1	II	ssDNA
Chicken_anemia_virus	II	ssDNA
Chikungunya_virus	IV	(+)ssRNA
Citrus_tristeza_virus	IV	(+)ssRNA
Classical_swine_fever_virus_Alfort_187	IV	(+)ssRNA
Columbid_circovirus	II	ssDNA
Eastern_equine_encephalitis_virus	IV	(+)ssRNA
Enterovirus_B	IV	(+)ssRNA
Enterovirus_C	IV	(+)ssRNA
